[Configuration]
controller_type = dlqr-event
reference_type = sine-wave
A = [ [ 9.9860906100e-01  ,  -1.1312366800e-04 ] , [ 9.9860906100e-01  ,  -1.1312366800e-04 ] ] 
B = [ [ 8.6104000000e-03] , [8.0799000000e-04 ]]
K = [ [ -5.0501400000e+01  ,  -9.2400000000e+02 ]]
event_a = 1.0000000000e+01
event_b = 2.0000000000e-01
event_sigma = 1.0000000000e-02
refresh_rate = 4.3674053192e+01

[Table]
time_us,pulse_qc,setpoint_current_mA,actual_current_mA,epos_velocity_unfiltered_rpm,calculated_velocity_rad/s,tracked_reference,event_max_error,event_error
             1026715,                 194,    1.0098959961e+04,               10017,                  30,    5.4093939066e-01,    3.9437814331e+02,    8.2028350830e+00,    9.4062976837e+00
             1036892,                 200,    9.0710361328e+03,               10017,                  30,    5.2919107676e-01,    3.8930184937e+02,    8.1709556580e+00,    0.0000000000e+00
             1046712,                 206,    9.0710361328e+03,               10001,                  30,    5.4843097925e-01,    3.8289486694e+02,    8.1380853653e+00,    1.2407012939e+01
             1056758,                 212,    7.7279301758e+03,               10017,                  30,    5.3609323502e-01,    3.7483273315e+02,    8.1027860641e+00,    0.0000000000e+00
             1066714,                 215,    7.7279301758e+03,                9099,                   0,    2.7046895027e-01,    3.6536978149e+02,    8.0696821213e+00,    1.2465770721e+01
             1076760,                 218,    6.6393374023e+03,                9099,                   0,    2.6804587245e-01,    3.5437268066e+02,    8.0345439911e+00,    0.0000000000e+00
             1086712,                 219,    6.6393374023e+03,                7713,                   0,    9.0193048120e-02,    3.4208666992e+02,    8.0004968643e+00,    1.3287216187e+01
             1096756,                 220,    5.3883183594e+03,                7745,                   0,    8.9365422726e-02,    3.2833148193e+02,    7.9644927979e+00,    0.0000000000e+00
             1106715,                 219,    5.3883183594e+03,                6618,                   0,   -9.0128161013e-02,    3.1340191650e+02,    7.9297080040e+00,    1.3930737495e+01
             1116755,                 219,    3.9446306152e+03,                6650,                   0,    0.0000000000e+00,    2.9710934448e+02,    7.8918681145e+00,    0.0000000000e+00
             1126713,                 217,    3.9446306152e+03,                5409,                   0,   -1.8027591705e-01,    2.7978213501e+02,    7.8554162979e+00,    1.5328268051e+01
             1136817,                 215,    2.4913803711e+03,                5409,                   0,   -1.7767246068e-01,    2.6108212280e+02,    7.8170342445e+00,    0.0000000000e+00
             1146712,                 209,    2.4913803711e+03,                3927,                 -30,   -5.4427266121e-01,    2.4174888611e+02,    7.7832651138e+00,    1.3338266373e+01
             1156758,                 204,    1.2796677246e+03,                3943,                   0,   -4.4674411416e-01,    2.2116539001e+02,    7.7464575768e+00,    0.0000000000e+00
             1166713,                 197,    1.2796677246e+03,                2509,                 -30,   -6.3115811348e-01,    1.9989913940e+02,    7.7115678787e+00,    1.4267436981e+01
             1176759,                 190,   -4.5977626801e+01,                2493,                   0,   -6.2544089556e-01,    1.7764617920e+02,    7.7060570717e+00,    0.0000000000e+00
             1186712,                 183,   -4.5977626801e+01,                1316,                 -30,   -6.3128793240e-01,    1.5490119934e+02,    7.7086591721e+00,    1.5744989395e+01
             1196755,                 174,   -1.4112956543e+03,                1300,                   0,   -8.0437934399e-01,    1.3133697510e+02,    7.7096810341e+00,    0.0000000000e+00
             1206713,                 163,   -1.4112956543e+03,                  27,                 -30,   -9.9152278900e-01,    1.0745576477e+02,    7.7087841034e+00,    1.2882575989e+01
             1216756,                 148,   -2.0466228027e+03,                -134,                 -30,   -1.3406312466e+00,    8.2945053101e+01,    7.7035737038e+00,    0.0000000000e+00
             1226715,                 129,   -2.0466228027e+03,               -1439,                 -90,   -1.7124567032e+00,    5.8313037872e+01,    7.6936998367e+00,    5.6442742348e+00
             1236760,                 103,   -2.0466228027e+03,               -1407,                 -60,   -2.3233001232e+00,    3.3237380981e+01,    7.6755390167e+00,    4.8091349602e+00
             1246714,                  76,   -2.0466228027e+03,               -2084,                 -60,   -2.4347140789e+00,    8.2580318451e+00,    7.6561841965e+00,    2.9012212753e+00
             1256756,                  54,   -2.0466228027e+03,               -2019,                 -60,   -1.9664562941e+00,   -1.6974580765e+01,    7.6432557106e+00,    5.9526205063e+00
             1266714,                  34,   -2.0466228027e+03,               -2084,                 -60,   -1.8027676344e+00,   -4.1929695129e+01,    7.6326718330e+00,    1.0884558678e+01
             1276848,                  14,   -2.4617053223e+03,               -2019,                 -60,   -1.7714581490e+00,   -6.7156814575e+01,    7.6221747398e+00,    0.0000000000e+00
             1286717,                  -5,   -2.4617053223e+03,               -2019,                 -60,   -1.7280739546e+00,   -9.1463500977e+01,    7.6122593880e+00,    5.3068666458e+00
             1296757,                 -20,   -2.4617053223e+03,               -2051,                 -30,   -1.3410328627e+00,   -1.1583003998e+02,    7.6071600914e+00,    1.4679540634e+01
             1306713,                 -38,   -3.6283266602e+03,               -2503,                 -60,   -1.6228164434e+00,   -1.3953796387e+02,    7.5976810455e+00,    0.0000000000e+00
             1316757,                 -57,   -3.6283266602e+03,               -2470,                 -60,   -1.6979650259e+00,   -1.6290203857e+02,    7.5864100456e+00,    4.3647246361e+00
             1326714,                 -76,   -3.6283266602e+03,               -2470,                 -60,   -1.7128010988e+00,   -1.8542382812e+02,    7.5742669106e+00,    7.8863854408e+00
             1336756,                -101,   -3.3087111816e+03,               -3566,                 -90,   -2.2346103191e+00,   -2.0740281677e+02,    7.5538573265e+00,    0.0000000000e+00
             1346710,                -130,   -3.3087111816e+03,               -3695,                 -90,   -2.6150617599e+00,   -2.2837484741e+02,    7.5273752213e+00,    8.0369777679e+00
             1356825,                -157,   -2.4206879883e+03,               -3614,                 -60,   -2.3959615231e+00,   -2.4877084351e+02,    7.5024251938e+00,    0.0000000000e+00
             1366714,                -181,   -2.4206879883e+03,               -3308,                 -60,   -2.1784160137e+00,   -2.6774063110e+02,    7.4798507690e+00,    5.0349135399e+00
             1376758,                -200,   -2.4206879883e+03,               -3340,                 -60,   -1.6979638338e+00,   -2.8594961548e+02,    7.4623460770e+00,    5.8629164696e+00
             1386714,                -211,   -2.4206879883e+03,               -2422,                 -30,   -9.9172192812e-01,   -3.0287573242e+02,    7.4534153938e+00,    1.4081517458e+00
             1396758,                -217,   -2.4206879883e+03,               -2422,                 -30,   -5.3619998693e-01,   -3.1875070190e+02,    7.4493203163e+00,    1.0151655197e+01
             1406712,                -222,   -5.2007412109e+03,               -2406,                 -30,   -4.5087316632e-01,   -3.3323153687e+02,    7.4449205399e+00,    0.0000000000e+00
             1416758,                -226,   -5.2007412109e+03,               -2406,                   0,   -3.5739353299e-01,   -3.4652487183e+02,    7.4401731491e+00,    9.2938137054e+00
             1426784,                -229,   -6.2875053711e+03,               -2470,                   0,   -2.6858204603e-01,   -3.5841571045e+02,    7.4349923134e+00,    0.0000000000e+00
             1436757,                -243,   -6.2875053711e+03,               -5177,                 -60,   -1.2600394487e+00,   -3.6883319092e+02,    7.4143552780e+00,    3.7172062397e+00
             1446713,                -263,   -6.2875053711e+03,               -5210,                 -60,   -1.8031287193e+00,   -3.7778881836e+02,    7.3844599724e+00,    1.4707174301e+01
             1456756,                -284,   -3.3828303223e+03,               -6225,                 -60,   -1.8768845797e+00,   -3.8532534790e+02,    7.3514313698e+00,    0.0000000000e+00
             1466715,                -306,   -3.3828303223e+03,               -6289,                 -90,   -1.9828463793e+00,   -3.9128427124e+02,    7.3153567314e+00,    1.6041416168e+01
             1476758,                -328,   -1.6042628174e+03,               -6289,                 -60,   -1.9662588835e+00,   -3.9574240112e+02,    7.2773070335e+00,    0.0000000000e+00
             1486715,                -335,   -1.6042628174e+03,               -3373,                 -30,   -6.3103586435e-01,   -3.9860729980e+02,    7.2561454773e+00,    4.3453378677e+00
             1496761,                -335,   -1.6042628174e+03,               -3373,                   0,    0.0000000000e+00,   -3.9991717529e+02,    7.2417082787e+00,    3.4421086311e+00
             1506715,                -332,   -1.6042628174e+03,               -1600,                   0,    2.7052628994e-01,   -3.9964401245e+02,    7.2292289734e+00,    2.2389473915e+00
             1516757,                -325,   -1.6042628174e+03,               -1632,                   0,    6.2568855286e-01,   -3.9778497314e+02,    7.2196636200e+00,    5.6697111130e+00
